#separator:semicolon
#html:true
#tags column:3
La dent est un organe.;La dent est un <b>organe</b> — pas un simple tissu. Elle est constituée de <b>3 tissus durs</b> (émail, dentine, cément) et d'<b>1 tissu mou</b> (pulpe).;organe-dentaire
Combien de dents chez l'adulte (denture permanente) ?;<b>32 dents</b> (16 par arcade) — dont 4 dents de sagesse.<br>Sans les dents de sagesse : <b>28</b>.;organe-dentaire
Combien de dents chez l'enfant (denture temporaire / dents de lait) ?;<b>20 dents</b> (10 par arcade).<br>Pas de prémolaires, pas de 3ᵉ molaire.;organe-dentaire
Nomme les 5 groupes de dents (par arcade).;1. <b>Incisives</b> (2) — couper<br>2. <b>Canines</b> (1) — déchirer<br>3. <b>Prémolaires</b> (2) — broyer<br>4. <b>Molaires</b> (2 ou 3) — broyer<br>→ Total : 8 par demi-arcade × 2 = 16 (dents de sagesse comprises);organe-dentaire
Quelles dents sont absentes de la denture temporaire ?;Les <b>prémolaires</b> et les <b>3ᵉ molaires</b> (dents de sagesse).;organe-dentaire
Les 4 parties anatomiques d'une dent.;1. <b>Couronne</b> — partie visible, recouverte d'émail<br>2. <b>Collet</b> (ligne cervicale) — jonction couronne/racine<br>3. <b>Racine</b> — partie dans l'os, recouverte de cément<br>4. <b>Apex</b> — extrémité de la racine (foramen apical);organe-dentaire
Combien de racines : incisive · canine · prémolaire · molaire maxillaire · molaire mandibulaire ?;<b>Incisive</b> : 1<br><b>Canine</b> : 1<br><b>Prémolaire</b> : 1 ou 2<br><b>Molaire maxillaire</b> : <b>3</b><br><b>Molaire mandibulaire</b> : <b>2</b>;organe-dentaire
Qu'est-ce que l'<b>émail</b> ? (3 caractéristiques);Tissu <b>le plus dur</b> du corps humain.<br>• <b>Acellulaire</b> (pas de cellules vivantes) → <b>ne se répare pas</b><br>• Composé à <b>96–97 % de minéral</b> (hydroxyapatite)<br>• Recouvre la <b>couronne</b> seulement;organe-dentaire
Quel est le minéral principal de l'émail, de la dentine et du cément ?;<b>Hydroxyapatite</b> : Ca₁₀(PO₄)₆(OH)₂<br>= phosphate de calcium cristallin.;organe-dentaire
Qu'est-ce que la <b>dentine</b> ?;Tissu dur <b>sous l'émail</b>, qui forme le <b>corps de la dent</b>.<br>• 70 % minéral (moins que l'émail)<br>• Traversée par des <b>tubules dentinaires</b> → contient des prolongements des <b>odontoblastes</b><br>• <b>Vivante</b> → peut se réparer (dentine réactionnelle/réparatrice)<br>• Transmet la <b>douleur</b>;organe-dentaire
Qu'est-ce que le <b>cément</b> ?;Tissu dur qui <b>recouvre la racine</b>.<br>• Moins minéralisé que la dentine<br>• Sert d'<b>ancrage</b> aux fibres du ligament parodontal<br>• Se dépose toute la vie (cément secondaire);organe-dentaire
Qu'est-ce que la <b>pulpe dentaire</b> ?;<b>Tissu conjonctif mou</b> au centre de la dent, dans la <b>chambre pulpaire</b> (couronne) et les <b>canaux radiculaires</b> (racine).<br>Contient : <b>nerfs</b>, <b>vaisseaux sanguins</b>, lymphatiques, <b>odontoblastes</b>, tissu conjonctif.<br>Rôles : formation de la dentine, nutrition, sensibilité, défense.;organe-dentaire
Qui fabrique l'émail ? Qui fabrique la dentine ?;<b>Améloblastes</b> → émail (disparaissent après l'éruption → l'émail ne se régénère plus)<br><b>Odontoblastes</b> → dentine (restent toute la vie à la périphérie de la pulpe);organe-dentaire
